year,"inflation (all, demeaned)",rho,nu,u
2008,1.87401247058897,2.94916769378359,-2.05046029729529,0.975305074100663
2008.25,2.73107652044164,3.30491373703799,-2.35461809056965,1.7807808739733
2008.5,4.43175869039426,2.08765980305861,-3.40237519454798,5.74647408188364
2008.75,-20.4953872736488,-2.04545930971454,-3.11233729009533,-15.3375906738389
2009,-9.34469289242194,0.50536582620545,-2.84075456658011,-7.00930415204728
2009.25,2.19267237286146,1.66638090189095,-2.60869571891896,3.13498718988947
2009.5,2.67420927544256,1.05090931261567,-2.18174933512138,3.80504929794826
2009.75,0.988293626243427,0.833066405108785,-3.02526106011201,3.18048828124666
2010,-1.64226060421394,-0.0980309670335344,-2.79831977159985,1.25409013441944
2010.25,-4.57773428223365,0.12140386939217,-2.51453993533426,-2.18459821629157
2010.5,-2.32710279444964,1.42554426786775,-2.59292625143173,-1.15972081088567
2010.75,2.22357281695076,1.91886372608262,-2.02220997282971,2.32691906369784
2011,3.96665885328377,2.22442005686176,-1.92744561390541,3.66968441032741
2011.25,4.45891645168672,0.751164034549832,-2.14679433674556,5.85454675388244
2011.5,-0.853657064877717,0.365843590004546,-2.19795558655758,0.978454931675317
2011.75,-1.32830499521066,0.319041585952205,-1.49504248509783,-0.152304096065034
2012,0.254673441176981,-0.818513453259564,-1.76861349277413,2.84180038721068
2012.25,-3.51391137467971,-0.242367874782554,-1.91998665824086,-1.3515568416563
2012.5,-2.2736939261428,0.365602248630335,-1.78836724009697,-0.850928934676171
2012.75,-0.434028610730719,-0.291827712438496,-1.57639221775896,1.43419131946673
2013,-2.82455364136081,-1.02668610391082,-1.94556920723804,0.147701669788056
2013.25,-5.98763100801824,-0.161220260243447,-1.83230207092958,-3.99410867684522
2013.5,-1.74184433518219,-0.491450415722894,-1.6103580929133,0.35996417345401
2013.75,-2.96767064480095,0.317838884157032,-1.81790955785805,-1.46759997109993
2014,-1.60446828560095,0.181914426207081,-1.88432502164529,0.0979423098372548
2014.25,-1.6738359301525,-0.145372456775455,-2.06143185128748,0.53296837791043
2014.5,-3.20083561289698,-1.5780482185694,-1.96257784421004,0.339790449882454
2014.75,-7.19902423898157,-3.0043324573882,-1.67547998198865,-2.51921179960472
2015,-10.4225009893533,0.0752931665068563,-1.64379147158842,-8.85400268427175
2015.25,-0.328783286913431,-0.404854864514318,-1.94506306857648,2.02113464617737
2015.5,-3.32291019338861,-1.46874240999895,-2.1481426312325,0.293974847842838
2015.75,-6.22003760070165,-1.63260659183714,-1.76218917085826,-2.82524183800626
2016,-6.39206128933664,0.441040747597127,-1.60564883397039,-5.22745320296338
2016.25,-0.61925156532333,-0.427280908943995,-1.76058550281935,1.56861484644001
